,MMM-YY,Driver_ID,Age,Gender,City,Education_Level,Income,Dateofjoining,LastWorkingDate,Joining Designation,Grade,Total Business Value,Quarterly Rating
30,3/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,545240,1
31,4/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,250000,2
32,5/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,895510,2
33,6/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,0,2
34,7/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,350650,2
35,8/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,708360,2
36,9/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,1190290,2
37,10/1/2019,13,29,0,C19,2,119227,28/05/15,,1,4,0,1
38,11/1/2019,13,30,0,C19,2,119227,28/05/15,,1,4,200000,1
39,12/1/2019,13,30,0,C19,2,119227,28/05/15,,1,4,300000,1
40,1/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,151110,1
41,2/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,200000,1
42,3/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,1593590,1
43,4/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,0,1
44,5/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,400000,1
45,6/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,258610,1
46,7/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,150000,1
47,8/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,500000,1
48,9/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,200000,1
49,10/1/2020,13,30,0,C19,2,119227,28/05/15,,1,4,350000,1
50,11/1/2020,13,31,0,C19,2,119227,28/05/15,25/11/20,1,4,0,1
51,10/1/2020,14,39,1,C26,0,19734,16/10/20,,3,3,0,1
52,11/1/2020,14,39,1,C26,0,19734,16/10/20,,3,3,0,1
53,12/1/2020,14,39,1,C26,0,19734,16/10/20,,3,3,0,1
54,1/1/2019,16,30,1,C23,0,52963,30/11/18,,2,2,346800,1
55,2/1/2019,16,30,1,C23,0,52963,30/11/18,22/02/19,2,2,0,1
56,1/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,100000,2
57,2/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,0,2
58,3/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,674990,2
59,4/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,242650,1
60,5/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,0,1
61,6/1/2019,17,42,0,C20,2,51099,3/6/2018,,1,1,0,1
62,7/1/2019,17,43,0,C20,2,51099,3/6/2018,20/07/19,1,1,0,1
63,1/1/2019,18,27,1,C17,1,31631,1/9/2019,,1,1,0,1
64,2/1/2019,18,27,1,C17,1,31631,1/9/2019,,1,1,0,1
65,3/1/2019,18,27,1,C17,1,31631,1/9/2019,,1,1,0,1
66,4/1/2019,18,27,1,C17,1,31631,1/9/2019,,1,1,0,1
67,5/1/2019,18,27,1,C17,1,31631,1/9/2019,30/04/19,1,1,0,1
68,10/1/2019,20,26,1,C19,0,40342,25/10/19,,3,3,0,1
69,11/1/2019,20,26,1,C19,0,40342,25/10/19,,3,3,0,1
70,12/1/2019,20,26,1,C19,0,40342,25/10/19,,3,3,0,1
71,1/1/2020,20,26,1,C19,0,40342,25/10/19,,3,3,0,1
72,2/1/2020,20,,1,C19,0,40342,25/10/19,,3,3,0,1
73,3/1/2020,20,26,1,C19,0,40342,25/10/19,3/1/2020,3,3,0,1
74,1/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,948560,4
75,2/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,551740,4
76,3/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,3295370,4
77,4/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,0,2
78,5/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,116350,2
79,6/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,533260,2
80,7/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,150450,2
81,8/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,0,2
82,9/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,520980,2
83,10/1/2019,21,33,1,C29,1,22755,5/12/2018,,1,1,150600,2
84,11/1/2019,21,34,1,C29,1,22755,5/12/2018,,1,1,0,2
85,12/1/2019,21,34,1,C29,1,22755,5/12/2018,,1,1,263690,2
86,1/1/2020,21,34,1,C29,1,22755,5/12/2018,,1,1,150170,1
87,2/1/2020,21,34,1,C29,1,22755,5/12/2018,17/02/20,1,1,281380,1
88,1/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,216170,2
89,2/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,404600,2
90,3/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,819960,2
91,4/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,601680,4
92,5/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,635700,4
93,6/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,121590,4
94,7/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,653680,4
95,8/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,1120560,4
96,9/1/2019,22,40,0,C10,2,31224,25/05/18,,1,1,696920,4
97,10/1/2019,22,,0,C10,2,31224,25/05/18,,1,1,200000,3
98,11/1/2019,22,41,0,C10,2,31224,25/05/18,,1,1,306410,3
99,12/1/2019,22,41,0,C10,2,31224,25/05/18,,1,1,499480,3
100,1/1/2020,22,41,0,C10,2,31224,25/05/18,,1,1,500510,2
101,2/1/2020,22,41,0,C10,2,31224,25/05/18,,1,1,658430,2
102,3/1/2020,22,41,0,C10,2,31224,25/05/18,,1,1,103800,2
103,4/1/2020,22,41,0,C10,2,31224,25/05/18,26/04/20,1,1,0,1
104,1/1/2019,24,30,0,C24,2,76308,25/05/18,,1,2,106460,2
105,2/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,401310,2
106,3/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,1103240,2
107,4/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,312720,2
108,5/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,128730,2
109,6/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,97220,2
110,7/1/2019,24,,0,C24,2,76308,25/05/18,,1,2,203240,3
111,8/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,639720,3
112,9/1/2019,24,31,0,C24,2,76308,25/05/18,,1,2,765920,3
113,10/1/2019,24,31,0,C24,2,76308,25/05/18,27/10/19,1,2,343160,2
114,1/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,2552300,3
115,2/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,2143680,3
116,3/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,2925260,3
117,4/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,1030790,4
118,5/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,1833580,4
119,6/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,999610,4
120,7/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,1046670,4
121,8/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,677050,4
122,9/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,1934570,4
123,10/1/2019,25,29,0,C24,1,102077,30/10/17,,1,3,1297810,4
124,11/1/2019,25,30,0,C24,1,102077,30/10/17,,1,3,1474610,4
125,12/1/2019,25,30,0,C24,1,102077,30/10/17,,1,3,574040,4
126,1/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,2109420,4
127,2/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,2973000,4
128,3/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,3053510,4
129,4/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,-414250,3
130,5/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,350000,3
131,6/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,1219340,3
132,7/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,650000,4
133,8/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,1512060,4
134,9/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,1368060,4
135,10/1/2020,25,30,0,C24,1,102077,30/10/17,,1,3,1346140,4
136,11/1/2020,25,31,0,C24,1,102077,30/10/17,,1,3,1680680,4
137,12/1/2020,25,31,0,C24,1,102077,30/10/17,,1,3,2013180,4
138,1/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,243110,4
139,2/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,646330,4
140,3/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,17651940,4
141,4/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,242510,4
142,5/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,1098080,4
143,6/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,1212720,4
144,7/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,2695910,4
145,8/1/2019,26,41,0,C14,2,121529,5/7/2018,,1,3,494710,4
146,9/1/2019,26,42,0,C14,2,121529,5/7/2018,,1,3,986540,4
147,10/1/2019,26,42,0,C14,2,121529,5/7/2018,,1,3,9950710,4
148,11/1/2019,26,42,0,C14,2,121529,5/7/2018,,1,3,13097320,4
149,12/1/2019,26,42,0,C14,2,121529,5/7/2018,,1,3,1086370,4
150,1/1/2020,26,42,0,C14,2,121529,5/7/2018,,1,3,732410,2
151,2/1/2020,26,42,0,C14,2,121529,5/7/2018,,1,3,1511840,2
152,3/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,9226690,4
153,4/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,1940050,2
154,5/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,970030,2
155,6/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,0,2
156,7/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,153590,2
157,8/1/2020,26,42,0,C14,2,132577,5/7/2018,,1,4,1710410,2
158,9/1/2020,26,43,0,C14,2,132577,5/7/2018,,1,4,440550,2
159,10/1/2020,26,43,0,C14,2,132577,5/7/2018,,1,4,744590,2
160,11/1/2020,26,43,0,C14,2,132577,5/7/2018,,1,4,1578270,2
161,12/1/2020,26,43,0,C14,2,132577,5/7/2018,,1,4,1453220,2
162,1/1/2019,29,30,0,C13,2,30312,20/05/18,,1,1,231840,2
163,2/1/2019,29,30,0,C13,2,30312,20/05/18,,1,1,278930,2
164,3/1/2019,29,30,0,C13,2,30312,20/05/18,,1,1,650990,2
165,4/1/2019,29,30,0,C13,2,30312,20/05/18,,1,1,111410,1
166,5/1/2019,29,30,0,C13,2,30312,20/05/18,23/05/19,1,1,0,1
167,10/1/2019,30,31,0,C6,1,69457,10/3/2019,,3,3,0,1
168,11/1/2019,30,31,0,C6,1,69457,10/3/2019,,3,3,0,1
169,12/1/2019,30,31,0,C6,1,69457,10/3/2019,29/11/19,3,3,0,1
170,7/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,0,1
171,8/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,0,1
172,9/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,0,1
173,10/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,0,2
174,11/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,0,2
175,12/1/2020,31,32,1,C28,2,65189,7/4/2020,,3,3,950940,2
176,8/1/2020,34,28,1,C14,1,65813,31/07/20,,2,2,285830,2
177,9/1/2020,34,28,1,C14,1,65813,31/07/20,,2,2,190180,2
178,10/1/2020,34,28,1,C14,1,65813,31/07/20,,2,2,0,1
179,11/1/2020,34,28,1,C14,1,65813,31/07/20,14/11/20,2,2,0,1
180,3/1/2020,35,32,0,C5,1,68070,3/7/2020,,3,3,300000,1
181,4/1/2020,35,32,0,C5,1,68070,3/7/2020,,3,3,0,1
182,5/1/2020,35,32,0,C5,1,68070,3/7/2020,5/5/2020,3,3,0,1
183,7/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,0,2
184,8/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,0,2
185,9/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,722390,2
186,10/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,821020,2
187,11/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,-19350,2
188,12/1/2019,36,40,1,C18,1,32865,7/1/2019,,2,2,145400,2
189,1/1/2020,36,40,1,C18,1,32865,7/1/2019,,2,2,0,1
190,2/1/2020,36,40,1,C18,1,32865,7/1/2019,,2,2,400000,1
191,3/1/2020,36,40,1,C18,1,32865,7/1/2019,,2,2,-50000,1
192,4/1/2020,36,40,1,C18,1,32865,7/1/2019,,2,2,1460000,3
193,5/1/2020,36,40,1,C18,1,32865,7/1/2019,,2,2,0,3
194,6/1/2020,36,41,1,C18,1,32865,7/1/2019,,2,2,139080,3
195,7/1/2020,36,41,1,C18,1,32865,7/1/2019,,2,2,984330,2
196,8/1/2020,36,41,1,C18,1,32865,7/1/2019,29/07/20,2,2,-325140,2
197,5/1/2020,37,33,1,C14,1,57375,16/05/20,,2,2,0,1
198,6/1/2020,37,33,1,C14,1,57375,16/05/20,,2,2,300000,1
199,7/1/2020,37,33,1,C14,1,57375,16/05/20,,2,2,350020,1
200,8/1/2020,37,33,1,C14,1,57375,16/05/20,,2,2,0,1
201,9/1/2020,37,33,1,C14,1,57375,16/05/20,,2,2,0,1
202,10/1/2020,37,33,1,C14,1,57375,16/05/20,16/10/20,2,2,0,1
203,12/1/2019,38,22,0,C27,0,13427,12/6/2019,,1,1,0,1
204,1/1/2020,38,22,0,C27,0,13427,12/6/2019,,1,1,0,1
205,2/1/2020,38,22,0,C27,0,13427,12/6/2019,,1,1,155610,1
206,3/1/2020,38,22,0,C27,0,13427,12/6/2019,15/03/20,1,1,-155610,1
207,8/1/2020,39,32,0,C26,0,72888,8/8/2020,,2,2,966340,3
208,9/1/2020,39,32,0,C26,0,72888,8/8/2020,,2,2,554010,3
209,10/1/2020,39,32,0,C26,0,72888,8/8/2020,,2,2,600440,2
210,11/1/2020,39,32,0,C26,0,72888,8/8/2020,,2,2,150470,2
211,12/1/2020,39,32,0,C26,0,72888,8/8/2020,,2,2,150970,2
212,11/1/2019,40,,0,C15,0,59182,11/8/2019,,2,2,0,1
213,12/1/2019,40,32,0,C15,0,59182,11/8/2019,,2,2,0,1
214,1/1/2020,40,32,0,C15,0,59182,11/8/2019,,2,2,0,1
215,2/1/2020,40,32,0,C15,0,59182,11/8/2019,14/02/20,2,2,0,1
216,7/1/2019,41,33,0,C29,2,92372,7/4/2019,,4,4,0,1
217,8/1/2019,41,33,0,C29,2,92372,7/4/2019,,4,4,0,1
218,9/1/2019,41,33,0,C29,2,92372,7/4/2019,,4,4,1061060,1
219,10/1/2019,41,33,0,C29,2,92372,7/4/2019,,4,4,1357440,3
220,11/1/2019,41,33,0,C29,2,92372,7/4/2019,,4,4,1000000,3
221,12/1/2019,41,34,0,C29,2,92372,7/4/2019,,4,4,2240810,3
222,1/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,1002760,3
223,2/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,2600330,3
224,3/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,6718850,3
225,4/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,0,2
226,5/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,811400,2
227,6/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,1071890,2
228,7/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,1358260,1
229,8/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,306820,1
230,9/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,0,1
231,10/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,775520,2
232,11/1/2020,41,34,0,C29,2,92372,7/4/2019,,4,4,180770,2
233,12/1/2020,41,35,0,C29,2,92372,7/4/2019,,4,4,1270000,2
234,1/1/2019,42,44,1,C28,0,45988,20/10/18,,2,2,147900,1
235,2/1/2019,42,44,1,C28,0,45988,20/10/18,,2,2,189020,1
236,3/1/2019,42,44,1,C28,0,45988,20/10/18,,2,2,657770,1
237,4/1/2019,42,44,1,C28,0,45988,20/10/18,,2,2,0,1
238,5/1/2019,42,44,1,C28,0,45988,20/10/18,16/05/19,2,2,0,1
239,1/1/2019,43,27,1,C15,0,12906,13/07/18,,1,1,359890,1
240,2/1/2019,43,27,,C15,0,12906,13/07/18,20/02/19,1,1,0,1
241,9/1/2020,44,28,0,C17,2,62100,25/09/20,,1,1,0,1
242,10/1/2020,44,28,0,C17,2,62100,25/09/20,,1,1,150110,1
243,11/1/2020,44,28,0,C17,2,62100,25/09/20,24/11/20,1,1,0,1
244,6/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,0,1
245,7/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,1262040,3
246,8/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,1202980,3
247,9/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,-58440,3
248,10/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,964680,3
249,11/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,334320,3
250,12/1/2020,45,35,0,C8,2,77544,29/05/20,,3,3,1521760,3
251,1/1/2019,46,36,1,C25,2,42171,28/10/18,,1,1,231860,1
252,2/1/2019,46,36,1,C25,2,42171,28/10/18,,1,1,106430,1
253,3/1/2019,46,36,1,C25,2,42171,28/10/18,27/02/19,1,1,0,1
254,10/1/2020,47,30,0,C21,1,28000,10/9/2020,,1,1,0,2
255,11/1/2020,47,30,0,C21,1,28000,10/9/2020,,1,1,484060,2
256,12/1/2020,47,30,0,C21,1,28000,10/9/2020,,1,1,382210,2
257,1/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,171760,1
258,2/1/2019,49,21,,C20,0,53039,25/05/18,,1,2,0,1
259,3/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,392890,1
260,4/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,106160,1
261,5/1/2019,49,,0,C20,0,53039,25/05/18,,1,2,124190,1
262,6/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,0,1
263,7/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,503500,2
264,8/1/2019,49,21,,C20,0,53039,25/05/18,,1,2,300300,2
265,9/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,0,2
266,10/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,0,1
267,11/1/2019,49,,0,C20,0,53039,25/05/18,,1,2,0,1
268,12/1/2019,49,21,0,C20,0,53039,25/05/18,,1,2,200000,1
269,1/1/2020,49,22,0,C20,0,53039,25/05/18,21/01/20,1,2,0,1
270,1/1/2019,50,49,1,C5,0,89367,20/11/18,,3,3,110310,1
271,2/1/2019,50,49,1,C5,0,89367,20/11/18,20/02/19,3,3,0,1
272,1/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,0,1
273,2/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,0,1
274,3/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,0,1
275,6/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,0,1
276,7/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,200000,2
277,8/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,845500,2
278,9/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,742500,2
279,10/1/2019,51,33,0,C14,0,131347,22/05/17,,4,4,250000,2
280,11/1/2019,51,34,0,C14,0,131347,22/05/17,,4,4,570000,2
281,12/1/2019,51,34,0,C14,0,131347,22/05/17,23/12/19,4,4,582010,2
282,7/1/2020,52,36,0,C19,0,48687,28/06/20,,3,3,0,1
283,8/1/2020,52,36,0,C19,0,48687,28/06/20,,3,3,0,1
284,9/1/2020,52,36,0,C19,0,48687,28/06/20,,3,3,493300,1
285,10/1/2020,52,37,0,C19,0,48687,28/06/20,,3,3,502020,2
286,11/1/2020,52,37,0,C19,0,48687,28/06/20,,3,3,556710,2
287,12/1/2020,52,37,0,C19,0,48687,28/06/20,,3,3,300560,2
288,7/1/2019,54,33,0,C29,1,117993,7/11/2019,,4,4,0,2
289,8/1/2019,54,33,0,C29,1,117993,7/11/2019,,4,4,0,2
290,9/1/2019,54,33,0,C29,1,117993,7/11/2019,,4,4,2000000,2
291,10/1/2019,54,33,0,C29,1,117993,7/11/2019,,4,4,0,3
292,11/1/2019,54,33,0,C29,1,117993,7/11/2019,,4,4,1950000,3
293,12/1/2019,54,34,0,C29,1,117993,7/11/2019,,4,4,1455010,3
294,1/1/2020,54,34,0,C29,1,117993,7/11/2019,,4,4,3398000,4
295,2/1/2020,54,34,0,C29,1,117993,7/11/2019,,4,4,6062470,4
296,3/1/2020,54,34,0,C29,1,117993,7/11/2019,,4,4,14620880,4
297,4/1/2020,54,34,0,C29,1,117993,7/11/2019,,4,4,0,2
298,5/1/2020,54,34,0,C29,1,117993,7/11/2019,,4,4,1380000,2
299,6/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,1449260,3
300,7/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,193240,1
301,8/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,350000,1
302,9/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,0,1
303,10/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,0,1
304,11/1/2020,54,34,0,C29,1,127826,7/11/2019,,4,5,0,1
305,12/1/2020,54,35,0,C29,1,127826,7/11/2019,,4,5,964430,1
306,11/1/2019,55,30,1,C8,0,29985,21/11/19,,1,1,0,1
307,12/1/2019,55,30,1,C8,0,29985,21/11/19,,1,1,0,1
308,1/1/2020,55,30,1,C8,0,29985,21/11/19,,1,1,0,1
309,2/1/2020,55,30,1,C8,0,29985,21/11/19,,1,1,0,1
310,3/1/2020,55,30,1,C8,0,29985,21/11/19,15/03/20,1,1,0,1
311,1/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,402040,3
312,2/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,358980,3
313,3/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,1111110,3
314,4/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,0,2
315,5/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,428450,2
316,6/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,0,2
317,7/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,717580,4
318,8/1/2019,56,34,1,C19,2,80223,20/07/18,,1,1,500000,4
319,9/1/2019,56,35,1,C19,2,80223,20/07/18,,1,1,936760,4
320,10/1/2019,56,35,1,C19,2,80223,20/07/18,,1,1,1125300,3
321,11/1/2019,56,35,1,C19,2,80223,20/07/18,,1,1,500000,3
322,12/1/2019,56,35,1,C19,2,80223,20/07/18,,1,1,0,3
323,1/1/2020,56,35,1,C19,2,80223,20/07/18,,1,1,156710,2
324,2/1/2020,56,35,1,C19,2,80223,20/07/18,,1,1,0,2
325,3/1/2020,56,35,1,C19,2,80223,20/07/18,,1,1,1198140,2
326,4/1/2020,56,35,1,C19,2,80223,20/07/18,,1,1,0,3
327,5/1/2020,56,35,1,C19,2,80223,20/07/18,,1,1,438580,3
328,6/1/2020,56,35,1,C19,2,80223,20/07/18,,1,1,838040,3
329,7/1/2020,56,35,1,C19,2,80223,20/07/18,,1,1,504690,2
330,8/1/2020,56,35,1,C19,2,80223,20/07/18,,1,1,300960,2
331,9/1/2020,56,36,1,C19,2,80223,20/07/18,,1,1,0,2
332,10/1/2020,56,36,1,C19,2,80223,20/07/18,,1,1,1490080,4
333,11/1/2020,56,36,1,C19,2,80223,20/07/18,,1,1,257330,4
334,12/1/2020,56,36,1,C19,2,80223,20/07/18,,1,1,458720,4
335,1/1/2019,57,36,1,C1,1,84318,26/07/17,,1,2,414260,3
336,2/1/2019,57,36,1,C1,1,84318,26/07/17,,1,2,1322870,3
337,3/1/2019,57,36,1,C1,1,84318,26/07/17,,1,2,1000380,3
338,4/1/2019,57,37,1,C1,1,84318,26/07/17,,1,2,676920,2
339,5/1/2019,57,37,1,C1,1,84318,26/07/17,,1,2,-157620,2
340,6/1/2019,57,37,1,C1,1,84318,26/07/17,,1,2,150350,2
341,7/1/2019,57,37,1,C1,1,84318,26/07/17,,1,2,250000,3
342,8/1/2019,57,37,1,C1,1,84318,26/07/17,,1,2,719670,3
343,9/1/2019,57,37,1,C1,1,84318,26/07/17,,1,2,573350,3
344,10/1/2019,57,37,1,C1,1,84318,26/07/17,,1,2,419100,4
345,11/1/2019,57,37,1,C1,1,84318,26/07/17,,1,2,741970,4
346,12/1/2019,57,37,1,C1,1,84318,26/07/17,,1,2,7612390,4
347,1/1/2020,57,37,1,C1,1,84318,26/07/17,,1,2,3636360,3
