date,hour,demand
2021-03-05,5,52.0
2021-03-05,6,54.0
2021-03-05,7,65.0
2021-03-05,8,73.0
2021-03-05,9,76.0
2021-03-05,10,78.0
2021-03-05,11,84.0
2021-03-05,12,90.0
2021-03-05,13,90.0
2021-03-05,14,90.0
2021-03-05,15,90.0
2021-03-05,16,90.0
2021-03-05,17,93.0
2021-03-05,18,92.0
2021-03-05,19,85.0
2021-03-05,20,80.0
2021-03-05,21,72.0
2021-03-05,22,69.0
2021-03-05,23,64.0
2021-03-06,0,60.0
2021-03-06,1,60.0
2021-03-06,2,59.0
2021-03-06,4,54.0
2021-03-06,7,59.0
2021-03-06,8,64.0
2021-03-06,9,82.0
2021-03-06,10,88.0
2021-03-06,11,103.0
2021-03-06,12,118.0
2021-03-06,13,116.0
2021-03-06,14,116.0
2021-03-06,15,116.0
2021-03-06,16,114.0
2021-03-06,17,108.0
2021-03-06,18,106.0
2021-03-06,19,94.0
2021-03-06,20,83.0
2021-03-06,21,73.0
2021-03-06,22,72.0
2021-03-06,23,67.0
2021-03-07,0,62.0
2021-03-07,1,62.0
2021-03-07,2,61.0
2021-03-07,3,57.0
2021-03-07,4,54.0
2021-03-07,5,54.0
2021-03-07,7,57.0
2021-03-07,8,61.0
2021-03-07,9,76.0
2021-03-07,10,80.0
2021-03-07,11,92.0
2021-03-07,12,99.0
2021-03-07,13,99.0
2021-03-07,14,99.0
2021-03-07,15,99.0
2021-03-07,16,98.0
2021-03-07,17,96.0
2021-03-07,18,95.0
2021-03-07,19,87.0
2021-03-07,20,78.0
2021-03-07,21,68.0
2021-03-07,22,68.0
2021-03-07,23,63.0
2021-03-08,0,56.0
2021-03-08,1,54.0
2021-03-08,2,52.0
2021-03-08,3,51.0
2021-03-08,4,51.0
2021-03-08,6,52.0
2021-03-08,7,61.0
2021-03-08,8,66.0
2021-03-08,9,69.0
2021-03-08,10,69.0
2021-03-08,11,69.0
2021-03-08,12,70.0
2021-03-08,13,70.0
2021-03-08,14,69.0
2021-03-08,15,69.0
2021-03-08,16,74.0
2021-03-08,17,77.0
2021-03-08,18,77.0
2021-03-08,19,77.0
2021-03-08,20,74.0
2021-03-08,21,68.0
2021-03-08,22,56.0
2021-03-08,23,58.0
2021-03-09,0,53.0
2021-03-09,1,52.0
2021-03-09,2,52.0
2021-03-09,3,50.0
2021-03-09,4,51.0
2021-03-09,5,51.0
2021-03-09,6,51.0
2021-03-09,7,63.0
2021-03-09,8,68.0
2021-03-09,9,71.0
2021-03-09,10,71.0
2021-03-09,11,71.0
2021-03-09,12,71.0
2021-03-09,13,71.0
2021-03-09,14,71.0
2021-03-09,15,71.0
2021-03-09,16,75.0
2021-03-09,17,79.0
2021-03-09,18,79.0
2021-03-09,19,78.0
2021-03-09,20,75.0
2021-03-09,21,69.0
2021-03-09,22,62.0
2021-03-09,23,63.0
2021-03-10,0,56.0
2021-03-10,1,54.0
2021-03-10,2,54.0
2021-03-10,4,53.0
2021-03-10,6,54.0
2021-03-10,7,63.0
2021-03-10,8,68.0
2021-03-10,9,71.0
2021-03-10,10,71.0
2021-03-10,11,71.0
2021-03-10,12,73.0
2021-03-10,13,73.0
2021-03-10,14,73.0
2021-03-10,15,73.0
2021-03-10,16,77.0
2021-03-10,17,80.0
2021-03-10,18,80.0
2021-03-10,19,79.0
2021-03-10,20,77.0
2021-03-10,21,71.0
2021-03-10,22,72.0
2021-03-10,23,67.0
2021-03-11,0,54.0
2021-03-11,2,53.0
2021-03-11,3,52.0
2021-03-11,4,52.0
2021-03-11,5,52.0
2021-03-11,6,52.0
2021-03-11,7,62.0
2021-03-11,8,66.0
2021-03-11,9,69.0
2021-03-11,10,70.0
2021-03-11,11,71.0
2021-03-11,12,75.0
2021-03-11,13,75.0
2021-03-11,14,75.0
2021-03-11,15,75.0
2021-03-11,16,79.0
2021-03-11,17,82.0
2021-03-11,18,82.0
2021-03-11,19,81.0
2021-03-11,20,72.0
2021-03-11,21,68.0
2021-03-11,22,66.0
2021-03-11,23,64.0
2021-03-12,0,54.0
2021-03-12,1,53.0
2021-03-12,2,52.0
2021-03-12,4,51.0
2021-03-12,5,51.0
2021-03-12,6,52.0
2021-03-12,7,63.0
2021-03-12,8,67.0
2021-03-12,9,71.0
2021-03-12,10,76.0
2021-03-12,11,82.0
2021-03-12,12,90.0
2021-03-12,13,90.0
2021-03-12,14,90.0
2021-03-12,15,90.0
2021-03-12,16,90.0
2021-03-12,17,93.0
2021-03-12,18,92.0
2021-03-12,19,85.0
2021-03-12,20,79.0
2021-03-12,21,73.0
2021-03-12,22,69.0
2021-03-12,23,67.0
2021-03-13,0,59.0
2021-03-13,1,58.0
2021-03-13,2,58.0
2021-03-13,5,53.0
2021-03-13,6,53.0
2021-03-13,7,58.0
2021-03-13,8,62.0
2021-03-13,9,79.0
2021-03-13,10,88.0
2021-03-13,11,103.0
2021-03-13,12,117.0
2021-03-13,13,115.0
2021-03-13,14,115.0
2021-03-13,15,115.0
2021-03-13,16,115.0
2021-03-13,17,108.0
2021-03-13,18,106.0
2021-03-13,19,94.0
2021-03-13,20,83.0
2021-03-13,21,73.0
2021-03-13,22,71.0
2021-03-13,23,68.0
2021-03-14,0,60.0
2021-03-14,1,60.0
2021-03-14,2,59.0
2021-03-14,3,55.0
2021-03-14,5,48.0
2021-03-14,6,49.0
2021-03-14,7,52.0
2021-03-14,8,56.0
2021-03-14,9,73.0
2021-03-14,10,79.0
2021-03-14,11,92.0
2021-03-14,12,98.0
2021-03-14,13,98.0
2021-03-14,14,98.0
2021-03-14,15,98.0
2021-03-14,16,98.0
2021-03-14,17,96.0
2021-03-14,18,95.0
2021-03-14,19,87.0
2021-03-14,20,77.0
2021-03-14,21,69.0
2021-03-14,22,66.0
2021-03-14,23,64.0
2021-03-15,0,60.0
2021-03-15,1,57.0
2021-03-15,2,55.0
2021-03-15,4,54.0
2021-03-15,5,54.0
2021-03-15,6,55.0
2021-03-15,7,64.0
2021-03-15,8,69.0
2021-03-15,9,71.0
2021-03-15,10,70.0
2021-03-15,11,71.0
2021-03-15,12,74.0
2021-03-15,13,74.0
2021-03-15,14,74.0
2021-03-15,15,74.0
2021-03-15,16,77.0
2021-03-15,17,81.0
2021-03-15,18,81.0
2021-03-15,19,78.0
2021-03-15,20,74.0
2021-03-15,21,68.0
2021-03-15,22,58.0
2021-03-15,23,60.0
2021-03-16,0,61.0
2021-03-16,1,60.0
2021-03-16,2,60.0
2021-03-16,4,58.0
2021-03-16,5,58.0
2021-03-16,6,58.0
2021-03-16,7,68.0
2021-03-16,8,73.0
2021-03-16,9,75.0
2021-03-16,10,74.0
2021-03-16,11,75.0
2021-03-16,12,79.0
2021-03-16,13,79.0
2021-03-16,14,79.0
2021-03-16,15,79.0
2021-03-16,16,83.0
2021-03-16,17,87.0
2021-03-16,18,87.0
2021-03-16,19,84.0
2021-03-16,20,81.0
2021-03-16,21,75.0
2021-03-16,22,66.0
2021-03-16,23,68.0
2021-03-17,0,56.0
2021-03-17,1,55.0
2021-03-17,2,55.0
2021-03-17,4,53.0
2021-03-17,5,53.0
2021-03-17,6,53.0
2021-03-17,7,64.0
2021-03-17,8,68.0
2021-03-17,9,70.0
2021-03-17,10,70.0
2021-03-17,11,70.0
2021-03-17,12,72.0
2021-03-17,13,72.0
2021-03-17,14,72.0
2021-03-17,15,72.0
2021-03-17,16,76.0
2021-03-17,17,80.0
2021-03-17,18,80.0
2021-03-17,19,79.0
2021-03-17,20,77.0
2021-03-17,21,72.0
2021-03-17,22,70.0
2021-03-17,23,65.0
2021-03-18,0,56.0
2021-03-18,1,53.0
2021-03-18,2,52.0
2021-03-18,4,49.0
2021-03-18,5,49.0
2021-03-18,6,50.0
2021-03-18,7,64.0
2021-03-18,8,67.0
2021-03-18,9,69.0
2021-03-18,10,70.0
2021-03-18,11,71.0
2021-03-18,12,75.0
2021-03-18,13,75.0
2021-03-18,14,75.0
2021-03-18,15,75.0
2021-03-18,16,79.0
2021-03-18,17,82.0
2021-03-18,18,82.0
2021-03-18,19,81.0
2021-03-18,20,77.0
2021-03-18,21,73.0
2021-03-18,22,70.0
2021-03-18,23,66.0
2021-03-19,0,57.0
2021-03-19,2,54.0
2021-03-19,4,51.0
2021-03-19,5,51.0
2021-03-19,6,51.0
2021-03-19,7,66.0
2021-03-19,8,70.0
2021-03-19,9,73.0
2021-03-19,10,78.0
2021-03-19,11,84.0
2021-03-19,12,89.0
2021-03-19,13,89.0
2021-03-19,14,89.0
2021-03-19,15,89.0
2021-03-19,16,89.0
2021-03-19,17,89.0
2021-03-19,18,89.0
2021-03-19,19,86.0
2021-03-19,20,81.0
2021-03-19,21,75.0
2021-03-19,22,72.0
2021-03-19,23,69.0
2021-03-20,0,62.0
2021-03-20,1,61.0
2021-03-20,2,60.0
2021-03-20,5,50.0
2021-03-20,6,50.0
2021-03-20,7,56.0
2021-03-20,8,59.0
2021-03-20,9,85.0
2021-03-20,10,94.0
2021-03-20,11,107.0
2021-03-20,12,115.0
2021-03-20,13,113.0
2021-03-20,14,113.0
2021-03-20,15,113.0
2021-03-20,16,112.0
2021-03-20,17,103.0
2021-03-20,18,103.0
2021-03-20,19,95.0
2021-03-20,20,85.0
2021-03-20,21,75.0
2021-03-20,22,73.0
2021-03-20,23,69.0
2021-03-21,1,63.0
2021-03-21,2,62.0
2021-03-21,3,58.0
2021-03-21,5,49.0
2021-03-21,7,54.0
2021-03-21,8,59.0
2021-03-21,9,80.0
2021-03-21,10,87.0
2021-03-21,11,98.0
2021-03-21,12,97.0
2021-03-21,13,97.0
2021-03-21,14,97.0
2021-03-21,15,97.0
2021-03-21,16,97.0
2021-03-21,17,92.0
2021-03-21,18,92.0
2021-03-21,19,88.0
2021-03-21,20,79.0
2021-03-21,21,72.0
2021-03-21,22,69.0
2021-03-21,23,66.0
2021-03-22,0,63.0
2021-03-22,1,51.0
2021-03-22,2,53.0
2021-03-22,5,50.0
2021-03-22,6,50.0
2021-03-22,7,63.0
2021-03-22,8,68.0
2021-03-22,9,70.0
2021-03-22,10,68.0
2021-03-22,11,66.0
2021-03-22,12,67.0
2021-03-22,13,67.0
2021-03-22,14,67.0
2021-03-22,15,75.0
2021-03-22,16,80.0
2021-03-22,17,83.0
2021-03-22,18,83.0
2021-03-22,19,76.0
2021-03-22,21,68.0
2021-03-22,22,56.0
2021-03-22,23,58.0
2021-03-23,0,61.0
2021-03-23,1,52.0
2021-03-23,6,53.0
2021-03-23,7,66.0
2021-03-23,8,71.0
2021-03-23,9,73.0
2021-03-23,10,71.0
2021-03-23,11,70.0
2021-03-23,12,69.0
2021-03-23,13,69.0
2021-03-23,14,69.0
2021-03-23,15,69.0
2021-03-23,16,74.0
2021-03-23,17,79.0
2021-03-23,18,79.0
2021-03-23,19,76.0
2021-03-23,20,73.0
2021-03-23,21,68.0
2021-03-23,22,59.0
2021-03-23,23,61.0
2021-03-24,0,61.0
2021-03-24,2,55.0
2021-03-24,5,52.0
2021-03-24,6,53.0
2021-03-24,7,68.0
2021-03-24,8,72.0
2021-03-24,9,73.0
2021-03-24,11,70.0
2021-03-24,12,69.0
2021-03-24,13,69.0
2021-03-24,14,69.0
2021-03-24,15,69.0
2021-03-24,16,74.0
2021-03-24,17,79.0
2021-03-24,18,79.0
2021-03-24,19,78.0
2021-03-24,20,76.0
2021-03-24,21,72.0
2021-03-24,22,69.0
2021-03-24,23,64.0
2021-03-25,0,59.0
2021-03-25,1,51.0
2021-03-25,2,54.0
2021-03-25,5,51.0
2021-03-25,6,51.0
2021-03-25,7,66.0
2021-03-25,8,70.0
2021-03-25,9,71.0
2021-03-25,10,69.0
2021-03-25,11,69.0
2021-03-25,12,70.0
2021-03-25,13,70.0
2021-03-25,14,70.0
2021-03-25,15,70.0
2021-03-25,16,75.0
2021-03-25,17,81.0
2021-03-25,18,80.0
2021-03-25,19,78.0
2021-03-25,20,73.0
2021-03-25,21,70.0
2021-03-25,22,67.0
2021-03-25,23,61.0
2021-03-26,0,59.0
2021-03-26,1,51.0
2021-03-26,2,54.0
2021-03-26,5,51.0
2021-03-26,6,51.0
2021-03-26,7,67.0
2021-03-26,8,71.0
2021-03-26,9,74.0
2021-03-26,10,77.0
2021-03-26,11,82.0
2021-03-26,12,85.0
2021-03-26,13,85.0
2021-03-26,14,85.0
2021-03-26,15,86.0
2021-03-26,16,87.0
2021-03-26,17,89.0
2021-03-26,18,89.0
2021-03-26,19,85.0
2021-03-26,20,75.0
2021-03-26,21,70.0
2021-03-26,22,67.0
2021-03-26,23,62.0
2021-03-27,0,64.0
2021-03-27,1,58.0
2021-03-27,2,57.0
2021-03-27,3,55.0
2021-03-27,4,50.0
2021-03-27,6,50.0
2021-03-27,7,60.0
2021-03-27,8,63.0
2021-03-27,9,81.0
2021-03-27,10,90.0
2021-03-27,11,102.0
2021-03-27,12,105.0
2021-03-27,13,105.0
2021-03-27,14,105.0
2021-03-27,15,105.0
2021-03-27,16,104.0
2021-03-27,17,97.0
2021-03-27,18,97.0
2021-03-27,19,92.0
2021-03-27,20,80.0
2021-03-27,21,72.0
2021-03-27,22,69.0
2021-03-27,23,64.0
2021-03-28,0,63.0
2021-03-28,1,56.0
2021-03-28,2,58.0
2021-03-28,3,54.0
2021-03-28,4,49.0
2021-03-28,5,49.0
2021-03-28,7,58.0
2021-03-28,8,63.0
2021-03-28,9,77.0
2021-03-28,10,83.0
2021-03-28,11,94.0
2021-03-28,12,93.0
2021-03-28,13,93.0
2021-03-28,14,93.0
2021-03-28,15,93.0
2021-03-28,16,92.0
2021-03-28,17,90.0
2021-03-28,18,91.0
2021-03-28,19,95.0
2021-03-28,20,85.0
2021-03-28,21,71.0
2021-03-28,22,69.0
2021-03-28,23,63.0
2021-03-29,0,68.0
2021-03-29,2,59.0
2021-03-29,3,55.0
2021-03-29,4,54.0
2021-03-29,5,54.0
2021-03-29,6,54.0
2021-03-29,7,67.0
2021-03-29,8,72.0
2021-03-29,9,71.0
2021-03-29,10,71.0
2021-03-29,11,72.0
2021-03-29,12,72.0
2021-03-29,13,72.0
2021-03-29,14,72.0
2021-03-29,15,73.0
2021-03-29,16,79.0
2021-03-29,17,84.0
2021-03-29,18,84.0
2021-03-29,19,85.0
2021-03-29,20,81.0
2021-03-29,21,73.0
2021-03-29,22,65.0
2021-03-29,23,60.0
2021-03-30,0,63.0
2021-03-30,2,59.0
2021-03-30,6,54.0
2021-03-30,7,69.0
2021-03-30,8,74.0
2021-03-30,9,71.0
2021-03-30,10,71.0
2021-03-30,11,72.0
2021-03-30,12,71.0
2021-03-30,13,71.0
2021-03-30,14,71.0
2021-03-30,15,72.0
2021-03-30,16,80.0
2021-03-30,17,86.0
2021-03-30,18,86.0
2021-03-30,19,87.0
2021-03-30,20,83.0
2021-03-30,21,76.0
2021-03-30,22,66.0
2021-03-30,23,61.0
2021-03-31,1,63.0
2021-03-31,2,62.0
2021-03-31,5,53.0
2021-03-31,6,53.0
2021-03-31,7,73.0
2021-03-31,8,78.0
2021-03-31,9,75.0
2021-03-31,10,75.0
2021-03-31,11,68.0
2021-03-31,12,67.0
2021-03-31,13,67.0
2021-03-31,14,72.0
2021-03-31,15,77.0
2021-03-31,16,84.0
2021-03-31,17,88.0
2021-03-31,18,88.0
2021-03-31,19,97.0
2021-03-31,20,90.0
2021-03-31,21,89.0
2021-03-31,22,87.0
2021-03-31,23,70.0
2021-04-01,0,57.0
2021-04-01,1,56.0
2021-04-01,2,56.0
2021-04-01,6,56.0
2021-04-01,7,69.0
2021-04-01,8,77.0
2021-04-01,9,79.0
2021-04-01,10,76.0
2021-04-01,11,77.0
2021-04-01,12,81.0
2021-04-01,13,81.0
2021-04-01,14,81.0
2021-04-01,15,81.0
2021-04-01,16,86.0
2021-04-01,17,91.0
2021-04-01,18,90.0
2021-04-01,19,88.0
2021-04-01,20,82.0
2021-04-01,21,80.0
2021-04-01,22,81.0
2021-04-01,23,74.0
2021-04-02,0,55.0
2021-04-02,2,55.0
2021-04-02,5,54.0
2021-04-02,6,56.0
2021-04-02,7,68.0
2021-04-02,8,77.0
2021-04-02,9,80.0
2021-04-02,10,80.0
2021-04-02,11,87.0
2021-04-02,12,91.0
2021-04-02,13,91.0
2021-04-02,14,91.0
2021-04-02,15,91.0
2021-04-02,16,92.0
2021-04-02,17,91.0
2021-04-02,18,91.0
2021-04-02,19,90.0
2021-04-02,20,83.0
2021-04-02,21,80.0
2021-04-02,22,76.0
2021-04-02,23,69.0
2021-04-03,0,67.0
2021-04-03,1,60.0
2021-04-03,2,60.0
2021-04-03,3,59.0
2021-04-03,5,54.0
2021-04-03,6,55.0
2021-04-03,7,64.0
2021-04-03,8,73.0
2021-04-03,9,91.0
2021-04-03,10,94.0
2021-04-03,11,107.0
2021-04-03,12,113.0
2021-04-03,13,113.0
2021-04-03,14,113.0
2021-04-03,15,113.0
2021-04-03,16,111.0
2021-04-03,17,98.0
2021-04-03,18,99.0
2021-04-03,19,96.0
2021-04-03,20,83.0
2021-04-03,21,73.0
2021-04-03,22,71.0
2021-04-03,23,61.0
2021-04-04,0,74.0
2021-04-04,1,64.0
2021-04-04,2,63.0
2021-04-04,3,61.0
2021-04-04,6,59.0
2021-04-04,7,70.0
2021-04-04,8,77.0
2021-04-04,9,91.0
2021-04-04,10,91.0
2021-04-04,11,103.0
2021-04-04,12,105.0
2021-04-04,13,105.0
2021-04-04,14,105.0
2021-04-04,15,105.0
2021-04-04,16,104.0
2021-04-04,17,95.0
2021-04-04,18,94.0
2021-04-04,19,91.0
2021-04-04,20,80.0
2021-04-04,21,71.0
2021-04-04,22,68.0
2021-04-04,23,61.0
2021-04-05,0,67.0
2021-04-05,1,58.0
2021-04-05,2,57.0
2021-04-05,3,55.0
2021-04-05,5,54.0
2021-04-05,6,55.0
2021-04-05,7,66.0
2021-04-05,8,74.0
2021-04-05,9,76.0
2021-04-05,10,74.0
2021-04-05,11,73.0
2021-04-05,12,73.0
2021-04-05,13,73.0
2021-04-05,14,71.0
2021-04-05,15,71.0
2021-04-05,16,76.0
2021-04-05,17,81.0
2021-04-05,18,81.0
2021-04-05,19,76.0
2021-04-05,20,74.0
2021-04-05,21,66.0
2021-04-05,22,56.0
2021-04-05,23,54.0
2021-04-06,0,58.0
2021-04-06,1,51.0
2021-04-06,2,51.0
2021-04-06,5,48.0
2021-04-06,6,49.0
2021-04-06,7,61.0
2021-04-06,8,67.0
2021-04-06,9,69.0
2021-04-06,10,68.0
2021-04-06,11,67.0
2021-04-06,12,65.0
2021-04-06,13,65.0
2021-04-06,14,62.0
2021-04-06,15,62.0
2021-04-06,16,68.0
2021-04-06,17,73.0
2021-04-06,18,73.0
2021-04-06,19,73.0
2021-04-06,20,71.0
2021-04-06,21,63.0
2021-04-06,22,55.0
2021-04-06,23,54.0
2021-04-07,2,50.0
2021-04-07,5,47.0
2021-04-07,6,48.0
2021-04-07,7,58.0
2021-04-07,8,63.0
2021-04-07,9,65.0
2021-04-07,10,65.0
2021-04-07,11,64.0
2021-04-07,12,62.0
2021-04-07,13,62.0
2021-04-07,14,60.0
2021-04-07,15,60.0
2021-04-07,16,66.0
2021-04-07,17,71.0
2021-04-07,18,71.0
2021-04-07,19,72.0
2021-04-07,20,71.0
2021-04-07,21,65.0
2021-04-07,22,64.0
2021-04-07,23,56.0
2021-04-08,1,52.0
2021-04-08,4,50.0
2021-04-08,5,50.0
2021-04-08,6,50.0
2021-04-08,7,60.0
2021-04-08,8,64.0
2021-04-08,9,66.0
2021-04-08,10,67.0
2021-04-08,11,67.0
2021-04-08,12,65.0
2021-04-08,13,65.0
2021-04-08,14,64.0
2021-04-08,15,64.0
2021-04-08,16,70.0
2021-04-08,17,75.0
2021-04-08,18,77.0
2021-04-08,19,78.0
2021-04-08,20,74.0
2021-04-08,21,69.0
2021-04-08,22,69.0
2021-04-08,23,61.0
2021-04-09,0,55.0
2021-04-09,1,54.0
2021-04-09,2,54.0
2021-04-09,6,52.0
2021-04-09,7,62.0
2021-04-09,8,66.0
2021-04-09,9,69.0
2021-04-09,10,74.0
2021-04-09,11,79.0
2021-04-09,12,81.0
2021-04-09,13,81.0
2021-04-09,14,81.0
2021-04-09,15,81.0
2021-04-09,16,82.0
2021-04-09,17,84.0
2021-04-09,18,85.0
2021-04-09,19,82.0
2021-04-09,20,77.0
2021-04-09,21,71.0
2021-04-09,22,70.0
2021-04-09,23,64.0
2021-04-10,0,59.0
2021-04-10,1,58.0
2021-04-10,2,58.0
2021-04-10,3,55.0
2021-04-10,4,50.0
2021-04-10,6,50.0
2021-04-10,7,57.0
2021-04-10,8,62.0
2021-04-10,9,75.0
2021-04-10,10,85.0
2021-04-10,11,97.0
2021-04-10,12,102.0
2021-04-10,13,102.0
2021-04-10,14,102.0
2021-04-10,15,102.0
2021-04-10,16,101.0
2021-04-10,17,93.0
2021-04-10,18,95.0
2021-04-10,19,91.0
2021-04-10,20,80.0
2021-04-10,21,71.0
2021-04-10,22,70.0
2021-04-10,23,64.0
2021-04-11,0,60.0
2021-04-11,1,60.0
2021-04-11,2,59.0
2021-04-11,6,50.0
2021-04-11,7,56.0
2021-04-11,8,62.0
2021-04-11,9,70.0
2021-04-11,10,77.0
2021-04-11,11,88.0
2021-04-11,12,89.0
2021-04-11,13,89.0
2021-04-11,14,89.0
2021-04-11,15,89.0
2021-04-11,16,89.0
2021-04-11,17,87.0
2021-04-11,18,89.0
2021-04-11,19,83.0
2021-04-11,22,60.0
2021-04-11,23,60.0
2021-04-12,0,60.0
2021-04-12,1,56.0
2021-04-12,5,51.0
2021-04-12,6,52.0
2021-04-12,7,64.0
2021-04-12,8,69.0
2021-04-12,9,71.0
2021-04-12,10,69.0
2021-04-12,12,70.0
2021-04-12,13,70.0
2021-04-12,15,70.0
2021-04-12,16,75.0
2021-04-12,17,80.0
2021-04-12,18,80.0
2021-04-12,19,77.0
2021-04-12,20,57.0
2021-04-12,21,55.0
2021-04-12,22,48.0
2021-04-13,0,55.0
2021-04-13,5,49.0
2021-04-13,6,49.0
2021-04-13,7,63.0
2021-04-13,8,68.0
2021-04-13,9,70.0
2021-04-13,10,69.0
2021-04-13,11,68.0
2021-04-13,12,68.0
2021-04-13,13,68.0
2021-04-13,14,68.0
2021-04-13,15,68.0
2021-04-13,16,73.0
2021-04-13,17,79.0
2021-04-13,18,79.0
2021-04-13,19,75.0
2021-04-13,20,63.0
2021-04-14,0,55.0
2021-04-14,2,54.0
2021-04-14,5,51.0
2021-04-14,6,51.0
2021-04-14,7,64.0
2021-04-14,8,69.0
2021-04-14,9,71.0
2021-04-14,10,69.0
2021-04-14,11,68.0
2021-04-14,12,68.0
2021-04-14,13,68.0
2021-04-14,14,68.0
2021-04-14,15,68.0
2021-04-14,16,73.0
2021-04-14,17,79.0
2021-04-14,18,79.0
2021-04-14,19,75.0
2021-04-14,20,63.0
2021-04-14,21,61.0
2021-04-14,22,58.0
2021-04-14,23,56.0
2021-04-15,0,55.0
2021-04-15,1,54.0
2021-04-15,5,51.0
2021-04-15,6,51.0
2021-04-15,7,64.0
2021-04-15,8,67.0
2021-04-15,9,68.0
2021-04-15,10,69.0
2021-04-15,11,69.0
2021-04-15,12,69.0
2021-04-15,13,69.0
2021-04-15,14,69.0
2021-04-15,15,69.0
2021-04-15,16,74.0
2021-04-15,17,79.0
2021-04-15,18,81.0
2021-04-15,19,77.0
2021-04-15,20,64.0
2021-04-15,21,63.0
2021-04-15,22,61.0
2021-04-15,23,58.0
2021-04-16,0,54.0
2021-04-16,1,55.0
2021-04-16,2,55.0
2021-04-16,4,51.0
2021-04-16,5,51.0
2021-04-16,6,52.0
2021-04-16,7,64.0
2021-04-16,8,67.0
2021-04-16,9,70.0
2021-04-16,10,74.0
2021-04-16,11,79.0
2021-04-16,12,81.0
2021-04-16,13,81.0
2021-04-16,14,81.0
2021-04-16,15,81.0
2021-04-16,16,82.0
2021-04-16,17,84.0
2021-04-16,18,85.0
2021-04-16,19,79.0
2021-04-16,20,73.0
2021-04-16,21,68.0
2021-04-16,22,64.0
2021-04-16,23,62.0
2021-04-17,0,58.0
2021-04-17,1,57.0
2021-04-17,2,56.0
2021-04-17,3,53.0
2021-04-17,5,46.0
2021-04-17,6,46.0
2021-04-17,7,55.0
2021-04-17,8,57.0
2021-04-17,9,75.0
2021-04-17,10,84.0
2021-04-17,11,97.0
2021-04-17,12,102.0
2021-04-17,13,102.0
2021-04-17,14,102.0
2021-04-17,15,102.0
2021-04-17,16,99.0
2021-04-17,17,91.0
2021-04-17,18,92.0
2021-04-17,19,88.0
2021-04-17,20,75.0
2021-04-17,21,67.0
2021-04-17,22,65.0
2021-04-17,23,62.0
2021-04-18,0,61.0
2021-04-18,1,59.0
2021-04-18,2,58.0
2021-04-18,4,46.0
2021-04-18,6,46.0
2021-04-18,8,57.0
2021-04-18,9,70.0
2021-04-18,10,76.0
2021-04-18,11,88.0
2021-04-18,12,89.0
2021-04-18,13,89.0
2021-04-18,14,89.0
2021-04-18,15,89.0
2021-04-18,16,87.0
2021-04-18,17,83.0
2021-04-18,18,85.0
2021-04-18,19,81.0
2021-04-18,20,71.0
2021-04-18,21,64.0
2021-04-18,22,61.0
2021-04-18,23,59.0
2021-04-19,1,54.0
2021-04-19,3,50.0
2021-04-19,5,49.0
2021-04-19,6,49.0
2021-04-19,7,65.0
